DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Sat, 17 Mar",vs Milwaukee,L120-98,18-23,Lee  22,Lee  9,Robinson  6,2011/2012,not qualified
"Sun, 18 Mar",@ Utah,L99-92 OT,18-24,Robinson  19,Wright  10,Robinson  4,2011/2012,not qualified
"Tue, 20 Mar",vs Minnesota,L97-93,18-25,Lee  25,Lee  9,Robinson  7,2011/2012,not qualified
"Thu, 22 Mar",@New Orleans,W101-92,19-25,Thompson  27,Lee  11,Robinson  10,2011/2012,not qualified
"Fri, 23 Mar",@ Houston,L109-83,19-26,Jefferson  14,McGuire  6,Jenkins  6,2011/2012,not qualified
"Sun, 25 Mar",vs Sacramento,W111-108,20-26,Thompson  31,Lee  14,Lee  9,2011/2012,not qualified
"Mon, 26 Mar",@ Portland,L90-87,20-27,Jenkins  27,Lee  16,Jenkins  6,2011/2012,not qualified
"Wed, 28 Mar",vs Los Angeles,L104-101,20-28,Lee  23,Lee  9,Thompson  7,2011/2012,not qualified
"Thu, 29 Mar",vsNew Orleans,L102-87,20-29,Lee  28,Lee  7,Robinson  6,2011/2012,not qualified
"Sat, 31 Mar",vsNew Jersey,L102-100,20-30,Lee  27,McGuire  9,Jenkins  12,2011/2012,not qualified
"Mon, 2 Apr",@ Los Angeles,L120-112,20-31,Lee  27,Lee  6,Lee  7,2011/2012,not qualified
"Wed, 4 Apr",@ Memphis,L98-94,20-32,Lee  22,Lee  13,Robinson  5,2011/2012,not qualified
"Thu, 5 Apr",@ Minnesota,W97-94,21-32,Lee  31,Lee  8,Jenkins  7,2011/2012,not qualified
"Sat, 7 Apr",@ Utah,L104-98,21-33,Lee  26,Lee  12,Jenkins  7,2011/2012,not qualified
"Sun, 8 Apr",vs Denver,W112-97,22-33,Rush  20,Lee  9,Jenkins  8,2011/2012,not qualified
"Tue, 10 Apr",@ Denver,L123-84,22-34,Thompson  17,Gladness  5,Robinson  5,2011/2012,not qualified
"Thu, 12 Apr",@ Portland,L118-110,22-35,Lee  21,Lee  14,Robinson  8,2011/2012,not qualified
"Fri, 13 Apr",vs Dallas,L112-103,22-36,Lee  30,Lee  8,Thompson  8,2011/2012,not qualified
"Sat, 14 Apr",@ LA,L112-104,22-37,Robinson  28,McGuire  11,Robinson  8,2011/2012,not qualified
"Tue, 17 Apr",vs San Antonio,L120-99,22-38,Robinson  30,Tyler  10,Robinson  7,2011/2012,not qualified
"Thu, 19 Apr",vs Los Angeles,L99-87,22-39,Thompson  17,Wright  7,Jenkins  11,2011/2012,not qualified
"Sat, 21 Apr",@ Dallas,L104-94,22-40,Thompson  26,Rush  8,Jenkins  10,2011/2012,not qualified
"Sun, 22 Apr",@ Houston,L99-96,22-41,Thompson  24,Rush  7,Jenkins  8,2011/2012,not qualified
"Mon, 23 Apr",@ Minnesota,W93-88,23-41,Jenkins  24,Rush  9,Jenkins  9,2011/2012,not qualified
"Wed, 25 Apr",vsNew Orleans,L83-81,23-42,Thompson  16,Tyler  8,Jenkins  10,2011/2012,not qualified
"Thu, 1 Nov",@ Phoenix,W87-85,1-0,Landry  17,Lee  9,Jack  7,2012/2013,qualified
"Sat, 3 Nov",vs Memphis,L104-94,1-1,Curry  26,Lee  7,Curry  7,2012/2013,qualified
"Sun, 4 Nov",@ LA,W114-110,2-1,Landry  23,Lee  12,Jack  7,2012/2013,qualified
"Tue, 6 Nov",@ Sacramento,L94-92,2-2,Thompson  22,Thompson  7,Curry  8,2012/2013,qualified
"Thu, 8 Nov",vs Cleveland,W106-96,3-2,Lee  22,Lee  14,Lee  6,2012/2013,qualified
"Sat, 10 Nov",@ Los Angeles,L101-77,3-3,Curry  18,Lee  12,Curry  5,2012/2013,qualified
