DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Mon, 14 Nov",vs Phoenix,W133-120,8-2,Curry  30,Durant  9,Green  11,2016/2017,qualified
"Thu, 17 Nov",@ Toronto,W127-121,9-2,Curry  35,Durant  9,Curry  7,2016/2017,qualified
"Sat, 19 Nov",@ Boston,W104-88,10-2,Thompson  28,Pachulia  13,Curry  8,2016/2017,qualified
"Sun, 20 Nov",@ Milwaukee,W124-121,11-2,Durant  33,Pachulia  10,Durant  5,2016/2017,qualified
"Tue, 22 Nov",@ Indiana,W120-83,12-2,Thompson  25,Durant  11,Green  7,2016/2017,qualified
"Thu, 24 Nov",vs Los Angeles,W149-106,13-2,Curry  31,Green  9,Green  11,2016/2017,qualified
"Sat, 26 Nov",@ Los Angeles,W109-85,14-2,Durant  29,Green  8,Durant  9,2016/2017,qualified
"Sun, 27 Nov",vs Minnesota,W115-102,15-2,Curry  34,Durant  10,Curry  6,2016/2017,qualified
"Tue, 29 Nov",vs Atlanta,W105-100,16-2,Durant  25,Durant  14,Green  7,2016/2017,qualified
"Fri, 2 Dec",vs Houston,L132-127 2OT,16-3,Durant  39,Green  15,Green  9,2016/2017,qualified
"Sun, 4 Dec",vs Phoenix,W138-109,17-3,Curry  31,Iguodala  6,Green  14,2016/2017,qualified
"Tue, 6 Dec",vs Indiana,W142-106,18-3,Thompson  60,Durant  8,Curry  11,2016/2017,qualified
"Thu, 8 Dec",@ LA,W115-98,19-3,Thompson  24,Durant  8,Durant  7,2016/2017,qualified
"Fri, 9 Dec",@ Utah,W106-99,20-3,Curry  26,Durant  11,Green  8,2016/2017,qualified
"Sun, 11 Dec",@ Memphis,L110-89,20-4,Durant  21,Curry  8,West  4,2016/2017,qualified
"Mon, 12 Dec",@ Minnesota,W116-108,21-4,Thompson  30,Durant  8,Curry  9,2016/2017,qualified
"Wed, 14 Dec",@ New Orleans,W113-109,22-4,Curry  30,Green  14,Green  10,2016/2017,qualified
"Fri, 16 Dec",vs New York,W103-90,23-4,Thompson  25,Durant  14,Durant  8,2016/2017,qualified
"Sun, 18 Dec",vs Portland,W135-90,24-4,Durant  34,Green  12,Green  13,2016/2017,qualified
"Wed, 21 Dec",vs Utah,W104-74,25-4,Curry  25,Green  11,Curry  4,2016/2017,qualified
"Fri, 23 Dec",@ Brooklyn,W117-101,26-4,Durant  26,Pachulia  14,Durant  7,2016/2017,qualified
"Sat, 24 Dec",@ Detroit,W119-113,27-4,Durant  32,Green  9,Green  12,2016/2017,qualified
"Sun, 25 Dec",@ Cleveland,L109-108,27-5,Durant  36,Durant  15,West  5,2016/2017,qualified
"Thu, 29 Dec",vs Toronto,W121-111,28-5,Curry  28,Durant  17,Green  10,2016/2017,qualified
"Sat, 31 Dec",vs Dallas,W108-99,29-5,Thompson  29,Durant  11,Durant  10,2016/2017,qualified
"Tue, 3 Jan",vs Denver,W127-119,30-5,Thompson  25,Green  10,Green  13,2016/2017,qualified
"Thu, 5 Jan",vs Portland,W125-117,31-5,Curry  35,Curry  7,Green  11,2016/2017,qualified
"Sat, 7 Jan",vs Memphis,L128-119 OT,31-6,Curry  40,Durant  13,Curry  6,2016/2017,qualified
"Mon, 9 Jan",@ Sacramento,W117-106,32-6,Curry  30,Durant  7,Green  10,2016/2017,qualified
"Wed, 11 Jan",vs Miami,W107-95,33-6,Durant  28,Green  9,Curry  9,2016/2017,qualified
"Fri, 13 Jan",vs Detroit,W127-107,34-6,Durant  25,Green  9,Green  13,2016/2017,qualified
"Tue, 17 Jan",vs Cleveland,W126-91,35-6,Thompson  26,Green  13,Curry  11,2016/2017,qualified
"Thu, 19 Jan",vs Oklahoma City,W121-100,36-6,Durant  40,Durant  12,Curry  8,2016/2017,qualified
"Sat, 21 Jan",@ Houston,W125-108,37-6,Durant  32,Green  9,Green  8,2016/2017,qualified
"Sun, 22 Jan",@ Orlando,W118-98,38-6,Curry  27,Durant  10,Curry  6,2016/2017,qualified
"Tue, 24 Jan",@ Miami,L105-102,38-7,Durant  27,Pachulia  10,Curry  8,2016/2017,qualified
"Thu, 26 Jan",@ Charlotte,W113-103,39-7,Durant  33,Iguodala  10,Curry  7,2016/2017,qualified
"Sun, 29 Jan",vs LA,W144-98,40-7,Curry  43,Curry  9,Durant  7,2016/2017,qualified
"Mon, 30 Jan",@ Portland,W113-111,41-7,Durant  33,Durant  10,Durant  6,2016/2017,qualified
"Thu, 2 Feb",vs Charlotte,W126-111,42-7,Curry  39,Green  10,Curry  8,2016/2017,qualified
"Fri, 3 Feb",@ LA,W133-120,43-7,Curry  29,McAdoo  9,Curry  11,2016/2017,qualified
"Sun, 5 Feb",@ Sacramento,L109-106 OT,43-8,Curry  35,Durant  9,Curry  9,2016/2017,qualified
"Thu, 9 Feb",vs Chicago,W123-92,44-8,Thompson  28,Durant  10,Durant  7,2016/2017,qualified
"Sat, 11 Feb",@ Memphis,W122-107,45-8,Thompson  36,Green  11,Green  10,2016/2017,qualified
"Sun, 12 Feb",@ Oklahoma City,W130-114,46-8,Durant  34,Durant  9,Curry  9,2016/2017,qualified
"Tue, 14 Feb",@ Denver,L132-110,46-9,Durant  25,McGee  7,Green  6,2016/2017,qualified
"Thu, 16 Feb",vs Sacramento,W109-86,47-9,Thompson  35,McGee  10,Curry  9,2016/2017,qualified
"Fri, 24 Feb",vs LA,W123-113,48-9,Curry  35,Durant  15,Durant  7,2016/2017,qualified
"Sun, 26 Feb",vs Brooklyn,W112-95,49-9,Curry  27,Pachulia  9,Iguodala  9,2016/2017,qualified
"Tue, 28 Feb",@ Philadelphia,W119-108,50-9,Durant  27,Iguodala  10,Green  11,2016/2017,qualified
"Wed, 1 Mar",@ Washington,L112-108,50-10,Curry  25,Green  8,Green  14,2016/2017,qualified
"Fri, 3 Mar",@ Chicago,L94-87,50-11,Curry  23,Green  8,Green  7,2016/2017,qualified
"Sun, 5 Mar",@ New York,W112-105,51-11,Curry  31,Curry  8,Curry  6,2016/2017,qualified
"Tue, 7 Mar",@ Atlanta,W119-111,52-11,Iguodala  24,Green  8,Curry  9,2016/2017,qualified
"Thu, 9 Mar",vs Boston,L99-86,52-12,Thompson  25,Green  8,Curry  6,2016/2017,qualified
"Sat, 11 Mar",@ Minnesota,L103-102,52-13,Thompson  30,Green  7,Curry  7,2016/2017,qualified
"Sun, 12 Mar",@ San Antonio,L107-85,52-14,Clark  36,Pachulia  12,Barnes  4,2016/2017,qualified
"Wed, 15 Mar",vs Philadelphia,W106-104,53-14,Curry  29,Green  9,Green  8,2016/2017,qualified
"Fri, 17 Mar",vs Orlando,W122-92,54-14,Thompson  29,Green  11,Curry  9,2016/2017,qualified
"Sun, 19 Mar",vs Milwaukee,W117-92,55-14,Curry  28,Barnes  10,Green  10,2016/2017,qualified
"Tue, 21 Mar",@ Oklahoma City,W111-95,56-14,Thompson  34,Green  10,Curry  6,2016/2017,qualified
"Wed, 22 Mar",@ Dallas,W112-87,57-14,Thompson  23,Green  7,Curry  9,2016/2017,qualified
"Sat, 25 Mar",vs Sacramento,W114-100,58-14,Curry  27,McGee  10,Curry  12,2016/2017,qualified
"Mon, 27 Mar",vs Memphis,W106-94,59-14,Thompson  31,Iguodala  7,Curry  11,2016/2017,qualified
"Wed, 29 Mar",@ Houston,W113-106,60-14,Curry  32,Curry  10,Curry  7,2016/2017,qualified
"Thu, 30 Mar",@ San Antonio,W110-98,61-14,Curry  29,Iguodala  6,Curry  11,2016/2017,qualified
"Sat, 1 Apr",vs Houston,W107-98,62-14,Curry  24,Thompson  8,Green  8,2016/2017,qualified
"Mon, 3 Apr",vs Washington,W139-115,63-14,Curry  42,Green  11,Green  13,2016/2017,qualified
"Wed, 5 Apr",vs Minnesota,W121-107,64-14,Thompson  41,Pachulia  7,Curry  9,2016/2017,qualified
"Thu, 6 Apr",@ Phoenix,W120-111,65-14,Curry  42,Barnes  8,Curry  11,2016/2017,qualified
"Sun, 9 Apr",vs New Orleans,W123-101,66-14,Thompson  20,Durant  10,Durant  6,2016/2017,qualified
"Tue, 11 Apr",vs Utah,L105-99,66-15,Curry  28,Durant  10,Durant  6,2016/2017,qualified
"Wed, 18 Oct",vs Houston,L122-121,0-1,Young  23,Green  11,Green  13,2017/2018,qualified
"Sat, 21 Oct",@ New Orleans,W128-120,1-1,Thompson  33,Pachulia  9,Green  9,2017/2018,qualified
"Sun, 22 Oct",@ Memphis,L111-101,1-2,Curry  37,Durant  13,Green  6,2017/2018,qualified
"Tue, 24 Oct",@ Dallas,W133-103,2-2,Curry  29,Durant  8,Curry  8,2017/2018,qualified
"Thu, 26 Oct",vs Toronto,W117-112,3-2,Curry  30,Green  11,Green  6,2017/2018,qualified
"Sat, 28 Oct",vs Washington,W120-117,4-2,Durant  31,Durant  11,Curry  8,2017/2018,qualified
"Mon, 30 Oct",vs Detroit,L115-107,4-3,Thompson  29,Green  13,Curry  8,2017/2018,qualified
"Tue, 31 Oct",@ LA,W141-113,5-3,Curry  31,Green  9,Curry  6,2017/2018,qualified
"Fri, 3 Nov",@ San Antonio,W112-92,6-3,Thompson  27,Durant  8,Green  6,2017/2018,qualified
"Sun, 5 Nov",@ Denver,W127-108,7-3,Durant  25,Casspi  8,Curry  11,2017/2018,qualified
"Tue, 7 Nov",vs Miami,W97-80,8-3,Durant  21,Green  9,Durant  6,2017/2018,qualified
"Thu, 9 Nov",vs Minnesota,W125-101,9-3,Thompson  28,Curry  8,Curry  8,2017/2018,qualified
"Sun, 12 Nov",vs Philadelphia,W135-114,10-3,Durant  29,Green  10,Curry  9,2017/2018,qualified
"Tue, 14 Nov",vs Orlando,W110-100,11-3,Durant  21,West  11,Durant  8,2017/2018,qualified
"Fri, 17 Nov",@ Boston,L92-88,11-4,Durant  24,Green  8,Green  5,2017/2018,qualified
"Sun, 19 Nov",@ Philadelphia,W124-116,12-4,Curry  35,West  7,Green  8,2017/2018,qualified
"Sun, 19 Nov",@ Brooklyn,W118-111,13-4,Curry  39,Curry  11,Green  8,2017/2018,qualified
"Thu, 23 Nov",@ Oklahoma City,L108-91,13-5,Curry  24,Casspi  6,Curry  6,2017/2018,qualified
"Sat, 25 Nov",vs Chicago,W143-94,14-5,Curry  33,Curry  7,Pachulia  6,2017/2018,qualified
"Sun, 26 Nov",vs New Orleans,W110-95,15-5,Curry  27,Green  7,Green  8,2017/2018,qualified
"Tue, 28 Nov",vs Sacramento,L110-106,15-6,Thompson  21,West  7,Green  8,2017/2018,qualified
"Thu, 30 Nov",@ Los Angeles,W127-123 OT,16-6,Durant  29,Green  11,Green  9,2017/2018,qualified
"Sat, 2 Dec",@ Orlando,W133-112,17-6,Thompson  27,Pachulia  8,Curry  10,2017/2018,qualified
"Mon, 4 Dec",@ Miami,W123-95,18-6,Curry  30,Green  7,Green  9,2017/2018,qualified
"Tue, 5 Dec",@ New Orleans,W125-115,19-6,Curry  31,Green  9,Curry  11,2017/2018,qualified
"Thu, 7 Dec",@ Charlotte,W101-87,20-6,Durant  35,Durant  11,Durant  10,2017/2018,qualified
"Sat, 9 Dec",@ Detroit,W102-98,21-6,Durant  36,Durant  10,Green  13,2017/2018,qualified
"Tue, 12 Dec",vs Portland,W111-104,22-6,Durant  28,Durant  9,Durant  5,2017/2018,qualified
"Fri, 15 Dec",vs Dallas,W112-97,23-6,Durant  36,Durant  11,Iguodala  10,2017/2018,qualified
"Tue, 19 Dec",@ Los Angeles,W116-114 OT,24-6,Durant  36,Durant  11,Durant  8,2017/2018,qualified
"Thu, 21 Dec",vs Memphis,W97-84,25-6,Thompson  29,Durant  8,Thompson  5,2017/2018,qualified
"Sat, 23 Dec",vs Los Angeles,W113-106,26-6,Durant  33,Green  11,Durant  7,2017/2018,qualified
"Sun, 24 Dec",vs Denver,L96-81,26-7,Durant  18,Bell  10,Iguodala  7,2017/2018,qualified
"Mon, 25 Dec",vs Cleveland,W99-92,27-7,Durant  25,Green  12,Green  11,2017/2018,qualified
"Thu, 28 Dec",vs Utah,W126-101,28-7,Durant  21,Bell  13,Green  8,2017/2018,qualified
"Sat, 30 Dec",vs Charlotte,L111-100,28-8,Durant  27,Green  11,Green  16,2017/2018,qualified
"Sun, 31 Dec",vs Memphis,W141-128,29-8,Curry  38,West  11,Durant  9,2017/2018,qualified
"Thu, 4 Jan",@ Dallas,W125-122,30-8,Curry  32,Durant  12,Curry  8,2017/2018,qualified
"Fri, 5 Jan",@ Houston,W124-114,31-8,Curry  29,Green  14,Green  10,2017/2018,qualified
"Sat, 6 Jan",@ LA,W121-105,32-8,Curry  45,Green  12,Green  7,2017/2018,qualified
"Tue, 9 Jan",vs Denver,W124-114,33-8,Curry  32,Bell  8,Green  10,2017/2018,qualified
"Thu, 11 Jan",vs LA,L125-106,33-9,Durant  40,Green  10,Durant  4,2017/2018,qualified
"Sat, 13 Jan",@ Milwaukee,W108-94,34-9,Durant  26,Green  10,Green  7,2017/2018,qualified
"Sun, 14 Jan",@ Toronto,W127-125,35-9,Thompson  26,Durant  6,Curry  9,2017/2018,qualified
"Tue, 16 Jan",@ Cleveland,W118-108,36-9,Durant  32,Green  16,Green  9,2017/2018,qualified
"Thu, 18 Jan",@ Chicago,W119-112,37-9,Thompson  38,Pachulia  11,Durant  7,2017/2018,qualified
"Sun, 21 Jan",@ Houston,L116-108,37-10,Durant  26,Durant  7,Curry  8,2017/2018,qualified
"Wed, 24 Jan",vs New York,W123-112,38-10,Curry  32,Curry  6,Durant  14,2017/2018,qualified
"Fri, 26 Jan",vs Minnesota,W126-113,39-10,Durant  28,Durant  10,Durant  11,2017/2018,qualified
"Sun, 28 Jan",vs Boston,W109-105,40-10,Curry  49,Green  11,Curry  5,2017/2018,qualified
"Wed, 31 Jan",@ Utah,L129-99,40-11,Thompson  27,Pachulia  7,Curry  5,2017/2018,qualified
"Sat, 3 Feb",@ Sacramento,W119-104,41-11,Durant  33,Pachulia  13,Durant  6,2017/2018,qualified
"Sun, 4 Feb",@ Denver,L115-108,41-12,Durant  31,Pachulia  8,Green  8,2017/2018,qualified
"Wed, 7 Feb",vs Oklahoma City,L125-105,41-13,Durant  33,Green  8,Green  7,2017/2018,qualified
"Fri, 9 Feb",vs Dallas,W121-103,42-13,Durant  24,Green  10,Curry  8,2017/2018,qualified
"Sun, 11 Feb",vs San Antonio,W122-105,43-13,Thompson  25,Green  8,Green  11,2017/2018,qualified
"Tue, 13 Feb",vs Phoenix,W129-83,44-13,Curry  22,Casspi  10,Curry  7,2017/2018,qualified
"Thu, 15 Feb",@ Portland,L123-117,44-14,Durant  50,Green  12,Green  7,2017/2018,qualified
"Fri, 23 Feb",vs LA,W134-127,45-14,Curry  44,Green  8,Curry  10,2017/2018,qualified
"Sun, 25 Feb",vs Oklahoma City,W112-80,46-14,Durant  28,Curry  9,Green  8,2017/2018,qualified
"Tue, 27 Feb",@ New York,W125-111,47-14,Thompson  26,Durant  9,Green  6,2017/2018,qualified
"Thu, 1 Mar",@ Washington,W109-101,48-14,Durant  32,Iguodala  7,Green  11,2017/2018,qualified
"Sat, 3 Mar",@ Atlanta,W114-109,49-14,Durant  28,Green  7,Green  9,2017/2018,qualified
"Wed, 7 Mar",vs Brooklyn,W114-101,50-14,Curry  34,Curry  6,Green  9,2017/2018,qualified
"Fri, 9 Mar",vs San Antonio,W110-107,51-14,Durant  37,Green  12,Green  10,2017/2018,qualified
"Sat, 10 Mar",@ Portland,L125-108,51-15,Durant  40,Green  12,Durant  6,2017/2018,qualified
"Sun, 11 Mar",@ Minnesota,L109-103,51-16,Durant  39,Durant  12,Green  7,2017/2018,qualified
"Thu, 15 Mar",vs Los Angeles,W117-106,52-16,Durant  26,Pachulia  12,Durant  6,2017/2018,qualified
"Sat, 17 Mar",vs Sacramento,L98-93,52-17,Cook  25,Green  10,Green  7,2017/2018,qualified
"Sun, 18 Mar",@ Phoenix,W124-109,53-17,Cook  28,Green  11,Green  8,2017/2018,qualified
"Tue, 20 Mar",@ San Antonio,L89-75,53-18,Cook  20,Looney  8,Cook  5,2017/2018,qualified
"Sat, 24 Mar",vs Atlanta,W106-94,54-18,Curry  29,Pachulia  9,Cook  6,2017/2018,qualified
"Mon, 26 Mar",vs Utah,L110-91,54-19,Cook  17,McGee  9,Cook  8,2017/2018,qualified
"Wed, 28 Mar",vs Indiana,L92-81,54-20,Young  12,Looney  11,Cook  7,2017/2018,qualified
"Fri, 30 Mar",vs Milwaukee,L116-107,54-21,Cook  30,Green  5,Green  6,2017/2018,qualified
"Sun, 1 Apr",@ Sacramento,W112-96,55-21,Durant  27,Durant  10,Green  7,2017/2018,qualified
"Mon, 2 Apr",vs Phoenix,W117-107,56-21,Durant  29,Durant  11,Green  12,2017/2018,qualified
"Wed, 4 Apr",@ Oklahoma City,W111-107,57-21,Durant  34,Durant  10,Green  8,2017/2018,qualified
"Fri, 6 Apr",@ Indiana,L126-106,57-22,Durant  27,Thompson  7,Durant  7,2017/2018,qualified
"Sun, 8 Apr",vs New Orleans,L126-120,57-23,Durant  41,Durant  10,Green  9,2017/2018,qualified
"Mon, 9 Apr",@ Phoenix,W117-100,58-23,Thompson  34,Green  6,Durant  9,2017/2018,qualified
"Wed, 17 Oct",vs Oklahoma City,W108-100,1-0,Curry  32,Green  13,Curry  9,2018/2019,qualified
"Sat, 20 Oct",@ Utah,W124-123,2-0,Durant  38,Durant  9,Curry  8,2018/2019,qualified
"Mon, 22 Oct",@ Denver,L100-98,2-1,Curry  30,Durant  11,Durant  7,2018/2019,qualified
"Tue, 23 Oct",vs Phoenix,W123-103,3-1,Curry  29,McKinnie  7,Curry  8,2018/2019,qualified
"Thu, 25 Oct",vs Washington,W144-122,4-1,Curry  51,Durant  8,Green  12,2018/2019,qualified
"Sat, 27 Oct",@ New York,W128-100,5-1,Durant  41,Durant  9,Green  6,2018/2019,qualified
"Sun, 28 Oct",@ Brooklyn,W120-114,6-1,Curry  35,Durant  8,Green  13,2018/2019,qualified
"Tue, 30 Oct",@ Chicago,W149-124,7-1,Thompson  52,McKinnie  10,Green  12,2018/2019,qualified
"Thu, 1 Nov",vs New Orleans,W131-121,8-1,Curry  37,Green  14,Curry  9,2018/2019,qualified
"Sat, 3 Nov",vs Minnesota,W116-99,9-1,Durant  33,Durant  13,Green  11,2018/2019,qualified
"Tue, 6 Nov",vs Memphis,W117-101,10-1,Thompson  27,Looney  9,Curry  7,2018/2019,qualified
"Fri, 9 Nov",vs Milwaukee,L134-111,10-2,Thompson  24,Durant  5,Durant  9,2018/2019,qualified
"Sun, 11 Nov",vs Brooklyn,W116-100,11-2,Durant  28,Bell  8,Durant  11,2018/2019,qualified
"Tue, 13 Nov",@ LA,L121-116 OT,11-3,Durant  33,Green  14,Durant  10,2018/2019,qualified
"Wed, 14 Nov",vs Atlanta,W110-103,12-3,Durant  29,Jerebko  13,Cook  6,2018/2019,qualified
"Fri, 16 Nov",@ Houston,L107-86,12-4,Durant  20,Iguodala  6,Green  5,2018/2019,qualified
"Sun, 18 Nov",@ Dallas,L112-109,12-5,Durant  32,Jerebko  10,Thompson  4,2018/2019,qualified
"Mon, 19 Nov",@ San Antonio,L104-92,12-6,Durant  26,Durant  10,Durant  6,2018/2019,qualified
"Thu, 22 Nov",vs Oklahoma City,L123-95,12-7,Durant  27,Durant  14,Cook  6,2018/2019,qualified
"Sat, 24 Nov",vs Portland,W125-97,13-7,Durant  32,Durant  9,Durant  7,2018/2019,qualified
"Sun, 25 Nov",vs Sacramento,W117-116,14-7,Durant  44,Durant  13,Durant  7,2018/2019,qualified
"Tue, 27 Nov",vs Orlando,W116-110,15-7,Durant  49,Durant  6,Durant  9,2018/2019,qualified
"Fri, 30 Nov",@ Toronto,L131-128 OT,15-8,Durant  51,Durant  11,Livingston  7,2018/2019,qualified
"Sun, 2 Dec",@ Detroit,L111-102,15-9,Durant  28,Thompson  8,Durant  7,2018/2019,qualified
"Tue, 4 Dec",@ Atlanta,W128-111,16-9,Curry  30,Thompson  8,Durant  8,2018/2019,qualified
"Thu, 6 Dec",@ Cleveland,W129-105,17-9,Curry  42,Durant  10,Durant  9,2018/2019,qualified
"Sat, 8 Dec",@ Milwaukee,W105-95,18-9,Thompson  20,Iguodala  8,Curry  8,2018/2019,qualified
"Tue, 11 Dec",vs Minnesota,W116-108,19-9,Curry  38,Green  10,Green  7,2018/2019,qualified
"Thu, 13 Dec",vs Toronto,L113-93,19-10,Durant  30,Durant  7,Green  7,2018/2019,qualified
"Sat, 15 Dec",@ Sacramento,W130-125,20-10,Curry  35,Green  14,Green  10,2018/2019,qualified
"Tue, 18 Dec",vs Memphis,W110-93,21-10,Durant  23,Curry  7,Durant  5,2018/2019,qualified
"Thu, 20 Dec",@ Utah,L108-103,21-11,Curry  32,Green  12,Livingston  5,2018/2019,qualified
"Sun, 23 Dec",vs Dallas,W120-116,22-11,Durant  29,Durant  12,Durant  8,2018/2019,qualified
"Mon, 24 Dec",vs LA,W129-127,23-11,Curry  42,Durant  12,Green  6,2018/2019,qualified
"Wed, 26 Dec",vs Los Angeles,L127-101,23-12,Iguodala  23,Durant  7,Durant  7,2018/2019,qualified
"Fri, 28 Dec",vs Portland,L110-109 OT,23-13,Curry  29,Green  11,Durant  11,2018/2019,qualified
"Sun, 30 Dec",@ Portland,W115-105,24-13,Thompson  32,Green  9,Curry  8,2018/2019,qualified
"Tue, 1 Jan",@ Phoenix,W132-109,25-13,Curry  34,Curry  9,Green  7,2018/2019,qualified
"Fri, 4 Jan",vs Houston,L135-134 OT,25-14,Curry  35,Green  11,Green  8,2018/2019,qualified
"Sun, 6 Jan",@ Sacramento,W127-123,26-14,Curry  42,Jerebko  8,Durant  9,2018/2019,qualified
"Wed, 9 Jan",vs New York,W122-95,27-14,Thompson  43,Green  11,Curry  14,2018/2019,qualified
"Sat, 12 Jan",vs Chicago,W146-109,28-14,Thompson  30,McKinnie  8,Curry  8,2018/2019,qualified
"Mon, 14 Jan",@ Dallas,W119-114,29-14,Curry  48,Jerebko  8,Green  7,2018/2019,qualified
"Wed, 16 Jan",@ Denver,W142-111,30-14,Curry  31,Looney  12,Green  13,2018/2019,qualified
"Thu, 17 Jan",vs New Orleans,W147-140,31-14,Curry  41,Durant  15,Green  14,2018/2019,qualified
"Sat, 19 Jan",@ LA,W112-94,32-14,Curry  28,Green  8,Green  9,2018/2019,qualified
"Tue, 22 Jan",@ Los Angeles,W130-111,33-14,Thompson  44,Cousins  9,Curry  12,2018/2019,qualified
"Fri, 25 Jan",@ Washington,W126-118,34-14,Curry  38,Green  15,Green  7,2018/2019,qualified
"Sun, 27 Jan",@ Boston,W115-111,35-14,Durant  33,Green  11,Green  8,2018/2019,qualified
"Tue, 29 Jan",@ Indiana,W132-100,36-14,Curry  26,Curry  6,Iguodala  8,2018/2019,qualified
"Fri, 1 Feb",vs Philadelphia,L113-104,36-15,Curry  41,Green  8,Green  10,2018/2019,qualified
"Sun, 3 Feb",vs Los Angeles,W115-101,37-15,Thompson  28,Cousins  10,Durant  11,2018/2019,qualified
"Thu, 7 Feb",vs San Antonio,W141-102,38-15,Thompson  26,Durant  8,Durant  9,2018/2019,qualified
"Sat, 9 Feb",@ Phoenix,W117-107,39-15,Thompson  25,Durant  8,Curry  7,2018/2019,qualified
"Mon, 11 Feb",vs Miami,W120-118,40-15,Durant  39,Green  7,Green  14,2018/2019,qualified
"Wed, 13 Feb",vs Utah,W115-108,41-15,Durant  28,Cousins  10,Durant  7,2018/2019,qualified
"Thu, 14 Feb",@ Portland,L129-107,41-16,Curry  32,Bell  9,Thompson  8,2018/2019,qualified
"Fri, 22 Feb",vs Sacramento,W125-123,42-16,Curry  36,Cousins  10,Green  8,2018/2019,qualified
"Sun, 24 Feb",vs Houston,L118-112,42-17,Durant  29,Cousins  14,Curry  7,2018/2019,qualified
"Tue, 26 Feb",@ Charlotte,W121-110,43-17,Thompson  26,Cousins  11,Green  10,2018/2019,qualified
"Thu, 28 Feb",@ Miami,L126-125,43-18,Thompson  36,Curry  6,Durant  5,2018/2019,qualified
"Fri, 1 Mar",@ Orlando,L103-96,43-19,Curry  33,Cousins  11,Curry  6,2018/2019,qualified
"Sun, 3 Mar",@ Philadelphia,W120-117,44-19,Durant  34,Green  9,Green  10,2018/2019,qualified
"Wed, 6 Mar",vs Boston,L128-95,44-20,Curry  23,Cousins  9,Green  5,2018/2019,qualified
"Sat, 9 Mar",vs Denver,W122-105,45-20,Thompson  39,Green  10,Durant  6,2018/2019,qualified
"Mon, 11 Mar",vs Phoenix,L115-111,45-21,Thompson  28,Green  11,Curry  8,2018/2019,qualified
"Thu, 14 Mar",@ Houston,W106-104,46-21,Thompson  30,Cousins  8,Cousins  7,2018/2019,qualified
"Sun, 17 Mar",@ Oklahoma City,W110-88,47-21,Curry  33,Thompson  8,Cousins  6,2018/2019,qualified
"Tue, 19 Mar",@ San Antonio,L111-105,47-22,Curry  25,Curry  7,Curry  8,2018/2019,qualified
"Wed, 20 Mar",@ Minnesota,W117-107,48-22,Curry  36,Green  10,Durant  9,2018/2019,qualified
"Fri, 22 Mar",vs Indiana,W112-89,49-22,Cousins  19,Cousins  11,Curry  7,2018/2019,qualified
"Sun, 24 Mar",vs Dallas,L126-91,49-23,Durant  25,Cousins  6,Cook  7,2018/2019,qualified
"Mon, 25 Mar",vs Detroit,W121-114,50-23,Curry  26,Curry  9,Durant  11,2018/2019,qualified
"Thu, 28 Mar",@ Memphis,W118-103,51-23,Curry  28,Curry  10,Curry  7,2018/2019,qualified
"Sat, 30 Mar",@ Minnesota,L131-130 OT,51-24,Curry  37,Durant  12,Durant  7,2018/2019,qualified
"Mon, 1 Apr",vs Charlotte,W137-90,52-24,Curry  25,Bogut  8,Durant  9,2018/2019,qualified
"Wed, 3 Apr",vs Denver,W116-102,53-24,Cousins  28,Cousins  13,Green  9,2018/2019,qualified
"Fri, 5 Apr",@ Los Angeles,W108-90,54-24,Cousins  21,Cousins  10,Durant  8,2018/2019,qualified
"Sat, 6 Apr",vs Cleveland,W120-114,55-24,Curry  40,Green  8,Durant  8,2018/2019,qualified
"Mon, 8 Apr",vs LA,W131-104,56-24,Curry  27,Green  10,Green  9,2018/2019,qualified
"Wed, 10 Apr",@ New Orleans,W112-103,57-24,Cousins  21,Cousins  12,Cousins  6,2018/2019,qualified
"Fri, 25 Oct",vs LA,L141-122,0-1,Curry  23,Looney  9,Russell  8,2019/2020,not qualified
"Sun, 27 Oct",@ Oklahoma City,L120-92,0-2,Curry  23,Curry  8,Curry  5,2019/2020,not qualified
"Tue, 29 Oct",@ New Orleans,W134-123,1-2,Curry  26,Green  17,Curry  11,2019/2020,not qualified
"Thu, 31 Oct",vs Phoenix,L121-110,1-3,Paschall  20,Russell  7,Russell  6,2019/2020,not qualified
"Sat, 2 Nov",vs San Antonio,L127-110,1-4,Russell  30,Chriss  9,Russell  8,2019/2020,not qualified
"Sun, 3 Nov",vs Charlotte,L93-87,1-5,Paschall  25,Robinson III  9,Bowman  4,2019/2020,not qualified
"Tue, 5 Nov",vs Portland,W127-118,2-5,Paschall  34,Paschall  13,Bowman  8,2019/2020,not qualified
"Thu, 7 Nov",@ Houston,L129-112,2-6,Burks  28,Robinson III  11,Bowman  4,2019/2020,not qualified
"Sat, 9 Nov",@ Minnesota,L125-119 OT,2-7,Russell  52,Russell  9,Russell  5,2019/2020,not qualified
"Sun, 10 Nov",@ Oklahoma City,L114-108,2-8,Russell  30,Lee  7,Russell  7,2019/2020,not qualified
"Tue, 12 Nov",vs Utah,L122-108,2-9,Russell  33,Cauley-Stein  11,Russell  8,2019/2020,not qualified
"Thu, 14 Nov",@ Los Angeles,L120-94,2-10,Russell  21,Spellman  7,Russell  8,2019/2020,not qualified
"Sat, 16 Nov",vs Boston,L105-100,2-11,Burks  20,Green  11,Russell  7,2019/2020,not qualified
