date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Thu, 5 Jan",San Antonio,L101-95,2-4,Lee  10,Curry  8,2011/2012,Ellis,38
"Sat, 7 Jan",Los Angeles,L97-90,2-5,Lee  11,Ellis  10,2011/2012,Ellis,18
"Sun, 8 Jan",Utah,L88-87,2-6,Lee  15,Ellis  6,2011/2012,Ellis,32
"Wed, 11 Jan",Miami,W111-106 OT,3-6,Lee  14,Robinson  5,2011/2012,Robinson,24
"Fri, 13 Jan",Orlando,L117-109,3-7,Lee  12,Ellis  11,2011/2012,Ellis,30
"Sun, 15 Jan",Charlotte,L112-100,3-8,Lee  16,Ellis  6,2011/2012,Lee,24
"Sun, 15 Jan",Detroit,W99-91,4-8,Wright  11,Ellis  7,2011/2012,Lee,24
"Wed, 18 Jan",Cleveland,W105-95,5-8,Biedrins  11,Robinson  10,2011/2012,Lee,29
"Thu, 19 Jan",New Jersey,L107-100,5-9,Lee  11,Robinson  7,2011/2012,Ellis,30
"Sat, 21 Jan",Indiana,L94-91,5-10,Lee  14,Ellis  6,2011/2012,Ellis,25
"Tue, 24 Jan",Memphis,L91-90,5-11,Lee  12,Robinson  6,2011/2012,Ellis,20
"Thu, 26 Jan",Portland,W101-93,6-11,Udoh  7,Ellis  12,2011/2012,Curry,32
"Sat, 28 Jan",Oklahoma City,L120-109,6-12,Wright  9,Curry  6,2011/2012,Wright,23
"Wed, 1 Feb",Sacramento,W93-90,7-12,Rush  6,Curry  8,2011/2012,Rush,20
"Fri, 3 Feb",Utah,W119-101,8-12,Lee  14,Curry  12,2011/2012,Ellis,33
"Sun, 5 Feb",Sacramento,L114-106 OT,8-13,Lee  5,Curry  9,2011/2012,Wright,24
"Wed, 8 Feb",Oklahoma City,L119-116,8-14,Lee  11,Lee  10,2011/2012,Ellis,48
"Fri, 10 Feb",Denver,W109-101,9-14,Lee  8,Curry  7,2011/2012,Curry,36
